kinase (phosphatase)	phos/deph	substrate
5499	deph	2572
5495	deph	1017
5783	deph	4155
1846	deph	5594
5533	deph	3725
8493	deph	4193
29085	deph	8370
5494	deph	1021
5537	deph	6885
5777	deph	1956
5516	deph	1997
5530	deph	84152
5789	deph	6774
5501	deph	5747
5530	deph	5502
7957	deph	27247
5516	deph	4137
5499	deph	815
5532	deph	2316
5516	deph	572
5533	deph	2572
5500	deph	8312
5515	deph	659
5515	deph	472
5771	deph	3718
5499	deph	5579
5536	deph	4137
23239	deph	208
1845	deph	5594
23035	deph	6789
5515	deph	1111
5515	deph	818
5794	deph	9564
5495	deph	1069
8493	deph	472
5533	deph	4137
5515	deph	8968
5516	deph	8355
5515	deph	5587
1845	deph	1956
338599	deph	1432
5777	deph	4914
5530	deph	2316
54434	deph	3984
5516	deph	659
5781	deph	3717
5515	deph	7157
5516	deph	816
5791	deph	6714
29085	deph	121504
5515	deph	2571
5516	deph	7408
5770	deph	5894
5496	deph	8329
5777	deph	87
22843	deph	5058
5516	deph	84433
5536	deph	11140
993	deph	5595
11122	deph	1500
5530	deph	1785
57026	deph	1072
5770	deph	9564
5494	deph	5295
1852	deph	5595
5728	deph	5747
5788	deph	3716
5515	deph	8352
5516	deph	3551
29085	deph	47
150290	deph	5599
22843	deph	814
54	deph	410
5500	deph	7137
5500	deph	818
5515	deph	3315
5531	deph	6118
5499	deph	5925
5788	deph	3932
5536	deph	4217
5516	deph	7431
5500	deph	4155
29085	deph	8367
9647	deph	5058
52	deph	27040
5515	deph	6010
5770	deph	5747
5795	deph	3791
5500	deph	207
5791	deph	3745
58190	deph	4088
5786	deph	4067
5501	deph	10768
5532	deph	1454
56940	deph	4155
5770	deph	4792
5537	deph	3014
5516	deph	5525
5501	deph	3014
5515	deph	51564
5501	deph	10714
5781	deph	394
248	deph	8336
23035	deph	207
192111	deph	4217
10217	deph	4088
5516	deph	8877
56940	deph	1432
5515	deph	836
8493	deph	7374
5515	deph	983
5782	deph	9051
54704	deph	5161
51207	deph	4155
5800	deph	2043
5499	deph	2571
5783	deph	3667
5516	deph	8851
5777	deph	2099
5515	deph	84152
5515	deph	1454
1846	deph	5595
5771	deph	5159
5770	deph	1956
5500	deph	11190
5499	deph	6788
11156	deph	9564
29101	deph	5430
23239	deph	6789
5515	deph	5566
5515	deph	5592
5515	deph	207
5515	deph	6416
5495	deph	1025
5515	deph	581
5795	deph	7082
5515	deph	6714
5515	deph	5604
5495	deph	3551
9647	deph	814
11122	deph	6774
5496	deph	3014
52	deph	3643
5516	deph	7186
5786	deph	5786
8556	deph	1027
5783	deph	4792
5500	deph	6790
54434	deph	57175
5770	deph	2057
5515	deph	1385
5500	deph	10768
5496	deph	8336
5532	deph	84152
5770	deph	6714
5516	deph	5599
142679	deph	5601
5494	deph	3551
5797	deph	1500
5516	deph	8354
5515	deph	5584
5516	deph	5578
56940	deph	2099
5533	deph	1827
5532	deph	4137
5782	deph	5747
10076	deph	1499
26469	deph	2909
5499	deph	572
1845	deph	1446
8556	deph	993
5515	deph	8354
5515	deph	6622
5516	deph	815
5496	deph	8969
5794	deph	1796
5771	deph	6778
5500	deph	790
5770	deph	10254
5501	deph	472
5770	deph	2099
7803	deph	11016
5782	deph	9564
5532	deph	3315
29085	deph	8360
5499	deph	7137
8556	deph	3658
993	deph	5594
5499	deph	7157
5796	deph	1956
5501	deph	5578
5778	deph	1432
1843	deph	5601
1852	deph	5594
5515	deph	8353
5795	deph	5979
1845	deph	1432
5501	deph	8350
52	deph	2212
5494	deph	4478
5531	deph	11184
5515	deph	9261
5795	deph	5295
11156	deph	7430
134510	deph	5430
5781	deph	6776
29085	deph	8368
5516	deph	8536
5499	deph	207
5803	deph	4914
5530	deph	283455
11156	deph	3856
5501	deph	6261
52	deph	5159
5495	deph	6885
5794	deph	6714
5499	deph	835
5800	deph	2048
5516	deph	5579
25930	deph	5747
5500	deph	1454
5802	deph	4916
5532	deph	5576
11221	deph	5601
5770	deph	4905
54704	deph	5160
5533	deph	1409
5533	deph	572
993	deph	5894
5499	deph	10714
5501	deph	9611
5499	deph	3014
5774	deph	2690
5516	deph	8968
10106	deph	5430
5515	deph	6195
5781	deph	9019
5516	deph	7157
5516	deph	6010
5781	deph	140885
5499	deph	1965
5516	deph	1025
5795	deph	100528016
5515	deph	814
5499	deph	6789
5494	deph	5058
5771	deph	6772
5781	deph	6714
5501	deph	818
5770	deph	1398
5537	deph	5591
78986	deph	22920
5784	deph	1499
5770	deph	2690
29085	deph	3783
9647	deph	815
1845	deph	3643
1843	deph	5594
5795	deph	27040
8556	deph	9493
5516	deph	596
5501	deph	8358
52	deph	1499
9110	deph	4088
5771	deph	6714
5770	deph	55503
5774	deph	919
8556	deph	5597
5530	deph	1827
5499	deph	5778
5786	deph	9564
5770	deph	1499
10106	deph	4088
5516	deph	5562
5496	deph	11218
5515	deph	7431
5516	deph	8353
5501	deph	5580
11072	deph	5601
9150	deph	5430
11266	deph	2645
5770	deph	3480
5516	deph	6416
5781	deph	6401
5501	deph	6608
5516	deph	814
5516	deph	581
5516	deph	1111
5515	deph	5580
5500	deph	6788
5516	deph	207
5501	deph	8357
5777	deph	3791
5515	deph	1025
5515	deph	3572
5788	deph	4067
5531	deph	3014
29085	deph	8361
5770	deph	5781
5531	deph	81565
5515	deph	29127
1850	deph	5599
5532	deph	1409
1844	deph	1432
5532	deph	4744
5516	deph	5580
5499	deph	11190
5777	deph	3206
5501	deph	11190
5494	deph	8312
58190	deph	4087
23035	deph	10000
10076	deph	1956
5792	deph	5792
5777	deph	4842
5516	deph	6608
5515	deph	1997
10217	deph	4086
5770	deph	5335
29085	deph	8359
5795	deph	100506658
5780	deph	4905
23035	deph	5579
5516	deph	4193
8556	deph	9712
5515	deph	55690
5515	deph	10000
26469	deph	25
5530	deph	5576
25930	deph	999
52	deph	3791
5788	deph	3718
5495	deph	572
5501	deph	2572
1846	deph	5601
5777	deph	841
5802	deph	4915
8493	deph	1432
5770	deph	87
1845	deph	1447
5795	deph	2534
5781	deph	1956
5515	deph	6789
993	deph	983
23239	deph	5579
5515	deph	4609
56940	deph	5599
5770	deph	7297
5496	deph	8330
1845	deph	5599
2140	deph	5430
5496	deph	6607
1844	deph	5594
1852	deph	1432
151742	deph	10087
5499	deph	842
132160	deph	3551
5781	deph	2185
5782	deph	7454
5494	deph	1017
79871	deph	5430
5516	deph	10000
5515	deph	5058
5536	deph	2908
5515	deph	4155
5501	deph	1965
5516	deph	6885
5771	deph	2288
5795	deph	1956
25930	deph	6714
5770	deph	4233
5515	deph	1938
5515	deph	1409
5532	deph	5502
5499	deph	9611
5532	deph	2002
5533	deph	2316
5494	deph	5580
993	deph	1523
5501	deph	4137
5532	deph	7408
