Transition_ID	Relation	Left	Right
T1167	phos	5568	10681
T1168	phos	8445	8805
T1169	phos	51422	2308
T1170	phos	54899	25865
T1171	deph	5519	5502
T1172	phos	1019	4691
T1173	phos	1020	4137
T1174	phos	157	391194
T1175	phos	1196	9782
T1176	phos	5579	2771
T1177	phos	5562	5888
T1178	phos	9149	2274
T1179	phos	1453	1869
T1180	phos	8900	990
T1181	phos	8986	94104
T1182	phos	5582	54331
T1183	phos	7048	639
T1184	phos	2932	51008
T1185	phos	1019	1487
T1186	phos	56924	340156
T1187	phos	5294	842
T1188	phos	55681	7314
T1189	deph	5527	6262
T1190	phos	11329	2017
T1191	deph	1846	5595
T1192	phos	5599	9479
T1193	phos	204851	1017
T1194	deph	5515	5566
T1195	phos	1020	11244
T1196	phos	53833	7297
T1197	phos	2870	3579
T1198	phos	5616	11331
T1199	phos	5058	56957
T1200	phos	5578	22800
T1201	deph	5532	84152
T1202	deph	28227	93589
T1203	phos	5292	4776
T1204	phos	7048	8048
T1205	phos	8445	27254
T1206	phos	157	283160
T1207	deph	5516	59283
T1208	phos	1454	8863
T1209	phos	10420	5566
T1210	deph	5797	1500
T1211	deph	5801	5594
T1212	deph	5518	83700
T1213	deph	5535	64682
T1214	phos	1326	127933
T1215	deph	5501	148327
T1216	phos	5566	4776
T1217	deph	5782	5747
T1218	deph	5534	51433
T1219	phos	22808	5594
T1220	phos	156	153
T1221	phos	5600	2005
T1222	phos	5579	127933
T1223	phos	157	390155
T1224	phos	5894	5604
T1225	deph	5500	5255
T1226	phos	2268	5290
T1227	phos	5601	4088
T1228	phos	660	2017
T1229	phos	5578	8527
T1230	deph	4660	103910
T1231	phos	11211	2776
T1232	phos	51086	56478
T1233	phos	157	343173
T1234	phos	51086	5687
T1235	phos	157	26531
T1236	deph	134510	5430
T1237	phos	9212	639
T1238	phos	157	134083
T1239	phos	5566	27092
T1240	phos	57761	55796
T1241	deph	5501	776
T1242	phos	8899	64121
T1243	phos	6196	84254
T1244	deph	5802	4916
T1245	phos	157	256148
T1246	phos	1457	6601
T1247	phos	9212	5566
T1248	deph	5516	6010
T1249	phos	207	2017
T1250	phos	81029	2535
T1251	phos	3718	6777
T1252	phos	5594	6197
T1253	phos	5567	2770
T1254	phos	7478	8324
T1255	phos	5578	4776
T1256	phos	3716	23533
T1257	phos	91754	10783
T1258	phos	5599	334
T1259	phos	2057	3716
T1260	phos	3595	7297
T1261	phos	5584	6945
T1262	phos	5579	54331
T1263	deph	5494	5606
T1264	phos	5595	790
T1265	phos	207	7262
T1266	phos	5599	7533
T1267	phos	4882	30819
T1268	phos	5979	863
T1269	phos	1432	4205
T1270	phos	8550	5599
T1271	phos	5595	2872
T1272	phos	5156	53358
T1273	phos	8798	7533
T1274	phos	55359	2444
T1275	phos	157	219858
T1276	phos	130399	4087
T1277	phos	4352	3718
T1278	deph	5519	5590
T1279	phos	673	5602
T1280	deph	1843	5600
T1281	deph	5516	6199
T1282	deph	5518	27092
T1283	phos	5595	6196
T1284	deph	5516	4193
T1285	phos	1457	5311
T1286	deph	55012	785
T1287	phos	5601	100132074
T1288	phos	7297	10399
T1289	phos	2264	11035
T1290	phos	5894	56957
T1291	phos	1025	4188
T1292	phos	1453	5594
T1293	deph	5495	1069
T1294	phos	5590	51567
T1295	phos	7476	8324
T1296	phos	5562	7812
T1297	phos	8986	4678
T1298	phos	5616	4775
T1299	phos	9149	80095
T1300	phos	8986	5687
T1301	phos	157	10798
T1302	deph	5519	6788
T1303	phos	57144	3985
T1304	phos	5567	995
T1305	phos	1019	9552
T1306	phos	6196	7428
T1307	deph	79871	5430
T1308	phos	9891	8099
T1309	phos	5594	10018
T1310	phos	2263	11163
T1311	phos	207	1385
T1312	deph	5500	148327
T1313	phos	8445	84254
T1314	phos	5598	11035
T1315	phos	6093	29895
T1316	deph	5501	4137
T1317	phos	1453	2735
T1318	phos	1457	4194
T1319	deph	89801	808
T1320	phos	817	5580
T1321	phos	157	390265
T1322	phos	1147	4793
T1323	phos	29110	7514
T1324	phos	207	1027
T1325	phos	9263	7336
T1326	phos	2268	7791
T1327	deph	5515	58494
T1328	phos	5594	80306
T1329	phos	5566	2902
T1330	phos	8767	5600
T1331	phos	6794	9830
T1332	phos	3595	3716
T1333	phos	5594	9189
T1334	phos	6885	5594
T1335	phos	2264	2017
T1336	phos	5058	91807
T1337	phos	5567	786
T1338	phos	57761	862
T1339	phos	85366	5519
T1340	phos	3480	5293
T1341	phos	5563	4193
T1342	phos	90	1647
T1343	phos	699	7319
T1344	phos	817	776
T1345	phos	2444	2969
T1346	deph	5531	6118
T1347	phos	2932	9586
T1348	phos	5580	5786
T1349	phos	5063	5604
T1350	phos	5568	481
T1351	phos	7473	11211
T1352	phos	7479	8322
T1353	phos	5566	5924
T1354	deph	5500	163688
T1355	phos	780	84254
T1356	phos	10459	51529
T1357	phos	2932	64764
T1358	deph	5520	93589
T1359	phos	1020	4088
T1360	deph	23239	5578
T1361	deph	5515	785
T1362	phos	157	283111
T1363	deph	5795	5594
T1364	phos	6011	1233
T1365	phos	57761	5519
T1366	deph	5518	782
T1367	phos	9263	81887
T1368	phos	5603	2308
T1369	deph	4659	29895
T1370	deph	5501	4633
T1371	phos	5296	10000
T1372	phos	6885	5606
T1373	phos	5608	1432
T1374	phos	6885	6256
T1375	phos	5567	492
T1376	deph	5521	5584
T1377	phos	5613	6262
T1378	phos	9891	2768
T1379	phos	7475	8325
T1380	phos	818	6331
T1381	phos	1025	5566
T1382	phos	80326	8324
T1383	deph	5500	2906
T1384	phos	5592	468
T1385	phos	8428	2017
T1386	phos	8576	1487
T1387	phos	5594	8681
T1388	deph	55844	781
T1389	phos	1020	10772
T1390	phos	1271	3716
T1391	phos	5584	5610
T1392	phos	5567	55796
T1393	phos	6733	84254
T1394	phos	156	1975
T1395	deph	28227	59283
T1396	phos	5292	993
T1397	phos	6794	9024
T1398	deph	5774	6300
T1399	deph	5500	9586
T1400	phos	5566	56915
T1401	deph	1844	5599
T1402	phos	6885	387082
T1403	phos	207	23676
T1404	phos	5567	2791
T1405	phos	5566	3190
T1406	phos	55681	3190
T1407	phos	1025	11200
T1408	phos	5566	4678
T1409	deph	5525	10000
T1410	phos	5580	3667
T1411	phos	5294	2932
T1412	deph	151742	6885
T1413	phos	91754	10848
T1414	phos	5578	7041
T1415	deph	55844	27091
T1416	phos	5290	207
T1417	deph	5501	5260
T1418	phos	5566	81608
T1419	phos	5058	10380
T1420	phos	2870	10663
T1421	phos	4752	55320
T1422	phos	1022	1975
T1423	phos	699	27254
T1424	phos	5580	5580
T1425	phos	6733	9406
T1426	phos	5058	3985
T1427	phos	5894	5595
T1428	phos	2931	54665
T1429	phos	440275	4793
T1430	phos	369	5094
T1431	deph	5518	6198
T1432	phos	5613	776
T1433	phos	6446	4303
T1434	deph	8555	387893
T1435	phos	5260	5837
T1436	phos	5578	9126
T1437	phos	23533	207
T1438	phos	9263	11315
T1439	phos	5595	1388
T1440	phos	5058	5558
T1441	deph	5525	27091
T1442	phos	157	119678
T1443	phos	1022	84254
T1444	deph	28227	783
T1445	phos	9212	9189
T1446	phos	7472	8324
T1447	phos	699	9760
T1448	phos	84254	23589
T1449	phos	157	4992
T1450	deph	54776	103910
T1451	deph	5525	778
T1452	phos	6787	64858
T1453	phos	4085	996
T1454	deph	1852	5601
T1455	phos	5566	6332
T1456	phos	10188	4193
T1457	phos	5979	2017
T1458	phos	157	23538
T1459	deph	1847	5595
T1460	phos	9263	6945
T1461	phos	5578	54866
T1462	phos	5594	842
T1463	phos	6790	64506
T1464	phos	1019	23451
T1465	deph	5516	5592
T1466	deph	5515	776
T1467	phos	5575	3991
T1468	deph	5778	5594
T1469	phos	9263	10212
T1470	phos	2932	60313
T1471	phos	147746	51808
T1472	phos	10000	148327
T1473	phos	817	27091
T1474	phos	5594	84699
T1475	phos	6093	5501
T1476	phos	1456	2736
T1477	deph	56940	5594
T1478	phos	6558	109
T1479	phos	660	387082
T1480	phos	699	4194
T1481	phos	8576	10248
T1482	deph	5532	51433
T1483	phos	1263	7515
T1484	phos	5600	51283
T1485	phos	2870	2829
T1486	phos	4916	25970
T1487	deph	5529	781
T1488	phos	1019	2294
T1489	phos	1196	11331
T1490	phos	5584	8544
T1491	phos	7525	10146
T1492	phos	1457	8893
T1493	phos	5613	779
T1494	phos	8986	4193
T1495	phos	1457	6732
T1496	deph	5782	25
T1497	phos	6787	8048
T1498	phos	9149	4776
T1499	phos	5580	140809
T1500	phos	51086	5108
T1501	phos	10454	5606
T1502	phos	10188	10848
T1503	phos	283455	5566
T1504	deph	5516	1111
T1505	deph	5500	784
T1506	phos	9263	57659
T1507	phos	5582	648044
T1508	phos	9212	745
T1509	phos	91754	4188
T1510	phos	1196	100506164
T1511	phos	7048	993
T1512	phos	10000	1388
T1513	deph	5518	55799
T1514	phos	5579	56848
T1515	phos	55681	8725
T1516	phos	5593	5500
T1517	phos	3480	399694
T1518	phos	157	79324
T1519	phos	5871	55796
T1520	phos	5747	8048
T1521	phos	7048	5887
T1522	phos	5600	11178
T1523	phos	7048	5528
T1524	phos	9263	4193
T1525	phos	7474	8322
T1526	phos	157	128366
T1527	deph	11122	100528016
T1528	phos	157	254783
T1529	phos	5566	483
T1530	deph	5522	27091
T1531	phos	10188	127933
T1532	phos	9891	5519
T1533	phos	5601	54700
T1534	deph	5515	779
T1535	phos	5584	27254
T1536	phos	5568	783
T1537	phos	7477	8322
T1538	phos	5584	2023
T1539	phos	157	26686
T1540	phos	3265	1432
T1541	deph	5516	3572
T1542	deph	5500	790
T1543	phos	5058	5598
T1544	phos	5594	123745
T1545	deph	55012	59285
T1546	phos	5567	2787
T1547	phos	8550	3315
T1548	phos	5565	31
T1549	phos	5295	842
T1550	deph	5501	8968
T1551	phos	5599	7416
T1552	deph	5522	776
T1553	phos	818	776
T1554	phos	6196	30818
T1555	phos	6792	5566
T1556	phos	5568	490
T1557	phos	817	781
T1558	phos	5600	4208
T1559	phos	4893	5603
T1560	phos	1019	7638
T1561	phos	1147	3665
T1562	phos	157	128372
T1563	deph	5494	6416
T1564	phos	1457	5871
T1565	phos	5606	6300
T1566	deph	5516	5587
T1567	phos	10298	4776
T1568	phos	472	1111
T1569	phos	5568	6331
T1570	phos	6196	55796
T1571	phos	1453	8863
T1572	phos	8428	3189
T1573	phos	5566	3059
T1574	deph	5509	163688
T1575	phos	53944	2735
T1576	phos	7482	8324
T1577	phos	699	6597
T1578	phos	815	6324
T1579	deph	5519	59284
T1580	phos	8569	1974
T1581	deph	5501	5747
T1582	deph	5532	8881
T1583	deph	5501	5610
T1584	phos	9149	5566
T1585	phos	5058	673
T1586	deph	9647	814
T1587	phos	815	22926
T1588	phos	817	286151
T1589	phos	51422	4303
T1590	phos	1019	27254
T1591	phos	6196	9322
T1592	phos	817	59283
T1593	phos	84254	5571
T1594	phos	8798	7072
T1595	phos	157	125958
T1596	phos	11200	56957
T1597	phos	1432	3726
T1598	phos	6885	2017
T1599	phos	7048	8853
T1600	deph	5516	659
T1601	deph	5535	4776
T1602	deph	54776	4637
T1603	phos	3588	3716
T1604	phos	2475	8471
T1605	phos	5567	2905
T1606	phos	8550	5687
T1607	phos	2932	10152
T1608	phos	5567	6324
T1609	deph	5515	5590
T1610	deph	5728	5747
T1611	phos	157	138802
T1612	phos	2268	23533
T1613	phos	9263	58158
T1614	phos	6011	10803
T1615	deph	1844	5600
T1616	phos	1019	7514
T1617	deph	5515	1385
T1618	deph	56940	6774
T1619	phos	6794	4303
T1620	phos	5058	6426
T1621	phos	699	51808
T1622	phos	699	3059
T1623	phos	3716	6775
T1624	phos	6885	6416
T1625	phos	5568	116444
T1626	phos	124923	5515
T1627	phos	157	390077
T1628	phos	2049	1398
T1629	deph	5516	1432
T1630	deph	5527	59284
T1631	phos	5566	7533
T1632	phos	8550	10262
T1633	phos	2264	5599
T1634	phos	1019	378708
T1635	phos	5058	6300
T1636	phos	5566	4188
T1637	deph	5525	784
T1638	deph	1848	5600
T1639	phos	4916	11244
T1640	phos	9212	11004
T1641	phos	7473	8321
T1642	deph	5523	6262
T1643	phos	5290	5747
T1644	deph	5515	8357
T1645	phos	4752	143471
T1646	phos	2264	10848
T1647	phos	9149	7791
T1648	phos	5568	3753
T1649	phos	5594	824
T1650	phos	91807	4636
T1651	phos	4752	56980
T1652	phos	1017	4303
T1653	phos	157	26716
T1654	phos	207	10488
T1655	phos	9263	10856
T1656	phos	5590	10856
T1657	phos	1195	10691
T1658	deph	5500	778
T1659	phos	2868	10663
T1660	deph	5519	58494
T1661	phos	207	3276
T1662	phos	157	79501
T1663	phos	1760	7041
T1664	phos	1020	4205
T1665	phos	5613	781
T1666	phos	131890	1524
T1667	phos	6198	5869
T1668	phos	6196	27254
T1669	phos	5747	7013
T1670	phos	156	1237
T1671	phos	5578	5894
T1672	phos	6198	5566
T1673	phos	5590	3190
T1674	phos	673	5595
T1675	phos	4233	10152
T1676	phos	7189	5595
T1677	phos	6196	11315
T1678	phos	5566	2890
T1679	deph	55012	779
T1680	phos	157	126541
T1681	phos	157	144125
T1682	phos	5894	8048
T1683	phos	157	391114
T1684	phos	5294	10000
T1685	phos	1019	10848
T1686	phos	5127	1398
T1687	phos	157	390078
T1688	phos	9451	4793
T1689	phos	5595	7343
T1690	phos	5613	6331
T1691	phos	6093	10627
T1692	phos	156	4160
T1693	phos	898	64682
T1694	deph	5526	6262
T1695	deph	5500	5260
T1696	phos	25	1399
T1697	deph	11221	5595
T1698	phos	65125	7791
T1699	phos	157	392138
T1700	phos	207	2960
T1701	phos	5613	1080
T1702	phos	53904	8878
T1703	deph	5501	810
T1704	phos	57761	23641
T1705	phos	157	26696
T1706	phos	5566	9667
T1707	phos	1019	10425
T1708	phos	7480	8326
T1709	phos	5592	5598
T1710	phos	5568	9254
T1711	deph	5516	814
T1712	deph	5516	581
T1713	phos	10188	2869
T1714	deph	5515	7186
T1715	phos	5296	207
T1716	phos	5568	5906
T1717	phos	5602	1616
T1718	deph	5519	27091
T1719	phos	6733	4089
T1720	phos	5602	3667
T1721	phos	8550	5566
T1722	deph	5528	10000
T1723	phos	56924	8805
T1724	phos	898	246184
T1725	phos	127933	8048
T1726	phos	157	390191
T1727	phos	2268	602
T1728	phos	5584	7791
T1729	phos	9212	6117
T1730	phos	157	392376
T1731	phos	10000	2308
T1732	phos	5566	94235
T1733	phos	157	119749
T1734	phos	6197	1027
T1735	phos	207	7247
T1736	phos	5580	7320
T1737	phos	5579	84433
T1738	phos	5566	492
T1739	deph	8555	8881
T1740	phos	9263	4222
T1741	phos	5563	100132074
T1742	phos	57144	5604
T1743	phos	5598	6197
T1744	phos	5616	26528
T1745	phos	23118	5606
T1746	phos	699	4691
T1747	phos	84254	7791
T1748	phos	2770	1432
T1749	deph	54776	29895
T1750	deph	5501	8357
T1751	deph	8556	994
T1752	phos	8576	22916
T1753	phos	5613	2904
T1754	phos	657	4086
T1755	deph	5516	5347
T1756	phos	5566	8458
T1757	phos	93	140809
T1758	deph	5500	801
T1759	phos	5894	1158
T1760	phos	5292	1975
T1761	phos	2242	5362
T1762	phos	53632	31
T1763	phos	1455	2735
T1764	phos	7048	2107
T1765	phos	7048	56957
T1766	deph	5501	1965
T1767	phos	5568	776
T1768	phos	5599	6612
T1769	phos	7525	1500
T1770	phos	5579	22800
T1771	phos	3716	5296
T1772	deph	8556	246184
T1773	phos	51231	26528
T1774	deph	55844	10369
T1775	phos	29110	140809
T1776	phos	156	3579
T1777	phos	817	2317
T1778	phos	5568	2737
T1779	deph	5501	8356
T1780	phos	156	2149
T1781	deph	4660	4636
T1782	deph	5521	5502
T1783	phos	5595	3845
T1784	deph	29085	8362
T1785	deph	8555	994
T1786	phos	5578	1975
T1787	phos	9149	9203
T1788	phos	2870	1234
T1789	deph	29085	554313
T1790	phos	5579	7082
T1791	phos	207	7003
T1792	deph	5500	1385
T1793	deph	28227	10000
T1794	phos	8445	3297
T1795	phos	2263	7798
T1796	phos	156	11267
T1797	phos	4751	5501
T1798	phos	6446	2308
T1799	phos	4216	5608
T1800	phos	1022	55796
T1801	phos	369	5602
T1802	phos	6792	51412
T1803	phos	5593	776
T1804	deph	1848	1432
T1805	deph	57460	1027
T1806	deph	5516	11200
T1807	phos	699	5511
T1808	phos	5585	55796
T1809	phos	3702	7409
T1810	phos	5613	109
T1811	phos	5599	23451
T1812	phos	2932	10248
T1813	phos	5578	7082
T1814	phos	7297	602
T1815	deph	5523	776
T1816	deph	89801	5257
T1817	phos	1019	3190
T1818	phos	4752	91661
T1819	phos	1457	79760
T1820	deph	5515	10368
T1821	phos	5567	59284
T1822	phos	5562	3059
T1823	phos	51086	7791
T1824	phos	10298	55802
T1825	phos	6885	4194
T1826	phos	147746	83605
T1827	phos	6788	4776
T1828	phos	660	54819
T1829	phos	369	4089
T1830	phos	2932	4666
T1831	phos	157	10803
T1832	deph	5500	808
T1833	phos	5590	5970
T1834	phos	6197	54700
T1835	phos	157	8386
T1836	phos	5578	1026
T1837	deph	5528	59285
T1838	phos	5582	56848
T1839	phos	816	27091
T1840	phos	157	135941
T1841	phos	7297	3190
T1842	phos	65125	7428
T1843	phos	817	10369
T1844	phos	5567	776
T1845	phos	5599	596
T1846	phos	156	252884
T1847	phos	1017	2309
T1848	phos	5881	5601
T1849	phos	699	7791
T1850	phos	5595	4303
T1851	phos	814	1073
T1852	phos	6732	8683
T1853	phos	2264	3059
T1854	phos	56924	9459
T1855	phos	5562	5518
T1856	phos	5595	10155
T1857	phos	9064	5608
T1858	phos	1020	6722
T1859	phos	7476	11211
T1860	phos	673	5600
T1861	phos	157	219432
T1862	phos	2263	4776
T1863	phos	4882	55521
T1864	phos	6885	9322
T1865	deph	80824	5599
T1866	deph	5515	83700
T1867	phos	91754	602
T1868	deph	5519	27092
T1869	phos	5567	483
T1870	phos	5613	2903
T1871	phos	10000	64764
T1872	phos	2869	1232
T1873	phos	51384	8325
T1874	phos	5582	2787
T1875	phos	81029	8325
T1876	phos	5582	5336
T1877	deph	5515	5579
T1878	phos	7301	5580
T1879	phos	5592	109
T1880	phos	5599	4775
T1881	deph	5516	783
T1882	phos	157	393046
T1883	phos	84254	11190
T1884	deph	5500	5894
T1885	phos	5613	490
T1886	phos	5566	2736
T1887	phos	5580	3761
T1888	phos	6197	1385
T1889	phos	699	7538
T1890	phos	1457	3297
T1891	phos	5567	6262
T1892	phos	157	346528
T1893	phos	157	8387
T1894	deph	5535	8697
T1895	phos	7297	4869
T1896	phos	2932	8048
T1897	phos	5563	31
T1898	phos	157	127066
T1899	phos	5598	2697
T1900	phos	5601	4188
T1901	phos	157	135948
T1902	deph	5801	6300
T1903	phos	2932	1809
T1904	phos	1432	8986
T1905	deph	5501	5255
T1906	deph	5525	59285
T1907	phos	7048	7514
T1908	deph	28227	778
T1909	phos	157	347169
T1910	deph	5521	6788
T1911	phos	7048	10973
T1912	phos	51086	3059
T1913	phos	660	55616
T1914	deph	5519	779
T1915	phos	5592	6196
T1916	phos	7048	55269
T1917	phos	5058	7458
T1918	phos	5566	27254
T1919	deph	5533	51434
T1920	phos	5594	2872
T1921	phos	4893	6300
T1922	phos	53833	3718
T1923	phos	2932	5567
T1924	phos	6198	25898
T1925	phos	157	442191
T1926	phos	157	256892
T1927	phos	5592	9569
T1928	phos	5616	7428
T1929	phos	5588	83700
T1930	phos	5592	27094
T1931	deph	5516	4086
T1932	phos	2932	5663
T1933	deph	5516	816
T1934	phos	23678	100132074
T1935	phos	157	81469
T1936	phos	7483	8322
T1937	deph	8556	996
T1938	phos	5613	2893
T1939	deph	5518	775
T1940	deph	5523	783
T1941	phos	156	10084
T1942	phos	5601	10848
T1943	deph	5501	59285
T1944	phos	29904	4776
T1945	phos	5566	143471
T1946	phos	5618	7297
T1947	phos	1020	56957
T1948	phos	6093	5305
T1949	phos	2268	1398
T1950	phos	5578	2823
T1951	phos	7471	8323
T1952	phos	3590	3716
T1953	phos	780	55796
T1954	phos	3480	2017
T1955	phos	1457	94104
T1956	phos	5566	3000
T1957	deph	80824	6300
T1958	phos	5580	6194
T1959	phos	5613	84699
T1960	phos	5578	3643
T1961	phos	157	283365
T1962	phos	157	81448
T1963	phos	1020	1616
T1964	deph	5496	6607
T1965	deph	90673	2998
T1966	phos	54861	10636
T1967	phos	6789	84254
T1968	phos	2264	1455
T1969	phos	2870	155
T1970	deph	5509	801
T1971	phos	340156	140465
T1972	phos	8445	4092
T1973	phos	149233	7297
T1974	phos	4752	7760
T1975	phos	5747	9564
T1976	phos	157	341276
T1977	phos	3611	54984
T1978	phos	1457	54926
T1979	phos	816	785
T1980	deph	90673	5255
T1981	phos	8792	2209
T1982	deph	5515	8968
T1983	phos	814	148327
T1984	phos	204851	51295
T1985	phos	9212	10848
T1986	deph	5516	5525
T1987	deph	5506	2997
T1988	phos	156	155
T1989	deph	5522	55799
T1990	phos	157	387748
T1991	phos	157	390157
T1992	phos	5894	5602
T1993	deph	5529	6262
T1994	phos	818	27092
T1995	phos	8569	9470
T1996	phos	6196	602
T1997	phos	2268	5296
T1998	phos	5588	9891
T1999	phos	5578	3269
T2000	phos	53632	1407
T2001	phos	5595	4093
T2002	phos	5613	5502
T2003	deph	5526	781
T2004	phos	90	8805
T2005	phos	7048	84254
T2006	phos	1020	3978
T2007	phos	157	390648
T2008	phos	5058	10746
T2009	phos	6196	1385
T2010	phos	157	343171
T2011	deph	5516	1454
T2012	phos	8440	5058
T2013	deph	5526	59284
T2014	deph	8555	64682
T2015	phos	157	26533
T2016	phos	157	2826
T2017	phos	6196	699
T2018	phos	5601	6829
T2019	phos	147746	64410
T2020	phos	10783	9322
T2021	deph	8556	51433
T2022	phos	5599	3190
T2023	deph	5533	5576
T2024	phos	9252	9586
T2025	deph	84867	5602
T2026	phos	5582	5747
T2027	phos	3718	6775
T2028	phos	207	1388
T2029	phos	2690	7297
T2030	phos	5593	5894
T2031	phos	5582	10681
T2032	phos	5594	6195
T2033	phos	157	286362
T2034	phos	816	775
T2035	phos	6885	7332
T2036	deph	89801	805
T2037	phos	90	4088
T2038	deph	5500	468
T2039	phos	5613	2736
T2040	phos	3055	5295
T2041	phos	5592	7225
T2042	phos	6787	57862
T2043	phos	5753	9322
T2044	phos	5599	7531
T2045	phos	898	51434
T2046	phos	3480	4776
T2047	phos	9475	5305
T2048	phos	6792	6117
T2049	phos	55681	4193
T2050	phos	9263	127933
T2051	phos	157	81797
T2052	phos	818	286151
T2053	deph	1849	5600
T2054	phos	157	81399
T2055	deph	5500	810
T2056	phos	1198	5528
T2057	phos	11329	4193
T2058	phos	5894	326
T2059	phos	1432	10657
T2060	phos	340156	4637
T2061	phos	6198	3667
T2062	deph	5506	2998
T2063	deph	5500	440275
T2064	deph	22843	814
T2065	phos	1019	11037
T2066	phos	10188	140809
T2067	deph	5526	775
T2068	phos	814	4776
T2069	phos	5594	8569
T2070	phos	5563	1408
T2071	phos	5567	56957
T2072	phos	9263	51096
T2073	phos	5058	4188
T2074	phos	9212	84107
T2075	phos	5599	6300
T2076	phos	157	127074
T2077	phos	1020	602
T2078	phos	5566	59284
T2079	phos	27330	3265
T2080	phos	7297	5290
T2081	deph	5501	10714
T2082	phos	3702	5335
T2083	phos	5871	6300
T2084	deph	5534	8881
T2085	phos	8792	9103
T2086	phos	5595	993
T2087	phos	2932	4609
T2088	phos	5590	10155
T2089	phos	7476	8326
T2090	phos	1196	4188
T2091	phos	5583	5587
T2092	phos	5578	5037
T2093	deph	5501	779
T2094	phos	6196	5970
T2095	phos	4915	53358
T2096	deph	29101	5430
T2097	deph	5527	779
T2098	phos	1457	19
T2099	phos	1196	10155
T2100	phos	6093	8394
T2101	phos	6300	4208
T2102	deph	1846	5594
T2103	deph	5786	5786
T2104	phos	157	390142
T2105	phos	1196	1820
T2106	phos	5578	150084
T2107	phos	1018	1111
T2108	deph	5520	59285
T2109	phos	1196	54738
T2110	phos	1453	2737
T2111	deph	5501	468
T2112	deph	5500	27092
T2113	phos	6787	23016
T2114	phos	8798	7791
T2115	phos	1439	3718
T2116	phos	8445	5687
T2117	phos	7478	8323
T2118	phos	545	672
T2119	phos	5256	5834
T2120	phos	5599	5465
T2121	deph	5496	8969
T2122	phos	5595	255189
T2123	phos	8767	5602
T2124	phos	157	390436
T2125	phos	29110	7117
T2126	deph	5534	246184
T2127	phos	150094	8853
T2128	deph	5501	5578
T2129	phos	157	120796
T2130	phos	5747	53358
T2131	phos	815	6332
T2132	phos	5563	10073
T2133	phos	51701	4776
T2134	deph	7957	27247
T2135	deph	5522	5584
T2136	phos	3480	5295
T2137	phos	5058	4149
T2138	phos	2444	54439
T2139	phos	8986	10963
T2140	phos	1019	2017
T2141	phos	207	57664
T2142	phos	5568	483
T2143	phos	7484	8325
T2144	phos	7480	11211
T2145	phos	5603	9252
T2146	phos	818	2317
T2147	phos	6733	5580
T2148	deph	10106	5430
T2149	phos	5594	64764
T2150	phos	10000	5566
T2151	phos	2869	815
T2152	phos	6093	10398
T2153	phos	3845	5603
T2154	phos	84254	51564
T2155	phos	5590	56288
T2156	phos	10000	8517
T2157	deph	5534	10393
T2158	phos	9252	5567
T2159	deph	5500	8312
T2160	phos	1457	9406
T2161	phos	157	120586
T2162	phos	5063	91807
T2163	phos	131890	1230
T2164	phos	4085	51433
T2165	phos	1459	4792
T2166	deph	5527	776
T2167	phos	80326	8326
T2168	phos	1459	5610
T2169	phos	5595	5599
T2170	phos	3459	3716
T2171	deph	5496	11218
T2172	deph	5516	8353
T2173	phos	660	4287
T2174	phos	1263	995
T2175	phos	5582	7082
T2176	phos	1459	3190
T2177	phos	5568	1080
T2178	phos	8550	5979
T2179	phos	157	401427
T2180	deph	55844	783
T2181	phos	51231	84330
T2182	phos	1022	1869
T2183	phos	2771	5595
T2184	phos	51086	94104
T2185	phos	157	26248
T2186	phos	2870	5599
T2187	phos	5568	5350
T2188	deph	5526	207
T2189	deph	150290	5599
T2190	deph	5531	3014
T2191	phos	1111	994
T2192	phos	9113	4194
T2193	deph	5515	27092
T2194	phos	5568	2771
T2195	phos	5347	127933
T2196	phos	156	4985
T2197	phos	6787	80306
T2198	phos	23012	5580
T2199	phos	10000	1326
T2200	phos	1445	10152
T2201	phos	5602	8853
T2202	phos	5871	6426
T2203	phos	6787	1840
T2204	phos	2042	55521
T2205	deph	5522	10369
T2206	deph	5515	59284
T2207	deph	5522	782
T2208	phos	5567	781
T2209	phos	5058	1112
T2210	phos	152110	30819
T2211	deph	1846	5601
T2212	phos	6789	4089
T2213	phos	5580	23676
T2214	deph	28227	27091
T2215	deph	5520	9254
T2216	phos	5568	467
T2217	phos	157	390168
T2218	phos	6416	5601
T2219	deph	55012	9254
T2220	deph	56940	5599
T2221	phos	1017	995
T2222	phos	157	143496
T2223	phos	157	121130
T2224	phos	157	284383
T2225	deph	5521	775
T2226	phos	1020	9322
T2227	phos	1195	11243
T2228	phos	369	5599
T2229	deph	5515	5058
T2230	phos	9263	22916
T2231	phos	5566	782
T2232	phos	780	54738
T2233	phos	8986	9667
T2234	phos	5568	3784
T2235	phos	4087	659
T2236	phos	1020	81628
T2237	phos	6300	4747
T2238	phos	5602	3726
T2239	phos	6300	994
T2240	phos	5601	2309
T2241	phos	5585	1975
T2242	phos	699	378708
T2243	phos	284086	64410
T2244	phos	5566	2783
T2245	phos	4214	1147
T2246	phos	894	5925
T2247	deph	28227	781
T2248	phos	7472	8326
T2249	deph	5533	10393
T2250	phos	5603	4149
T2251	deph	8555	29945
T2252	phos	207	5140
T2253	phos	1454	2309
T2254	phos	5595	2887
T2255	phos	7481	8326
T2256	deph	1852	5603
T2257	phos	780	80095
T2258	phos	7475	8323
T2259	deph	5494	1938
T2260	deph	5520	779
T2261	phos	5058	4194
T2262	phos	8550	4188
