Transition_ID	Relation	Left	Right
T270	deph	80824	5595
T271	phos	157	81466
T272	phos	122011	2736
T273	phos	5566	1397
T274	phos	5567	7442
T275	phos	3702	326
T276	phos	5566	10073
T277	phos	51384	8321
T278	phos	29110	3663
T279	phos	6885	6429
T280	phos	6794	2309
T281	phos	8517	4794
T282	phos	2011	55320
T283	phos	1020	4194
T284	phos	5590	2268
T285	phos	5600	3172
T286	phos	5129	2869
T287	phos	9263	81628
T288	phos	9263	9533
T289	phos	64109	3716
T290	phos	7471	8324
T291	deph	5529	10000
T292	phos	660	5579
T293	phos	801	5834
T294	phos	5880	5602
T295	phos	5601	11244
T296	phos	8550	1975
T297	phos	2263	4938
T298	phos	5599	4089
T299	phos	7476	2535
T300	phos	2869	3579
T301	phos	5156	399694
T302	phos	5613	10369
T303	phos	2932	898
T304	deph	5526	10368
T305	phos	8569	468
T306	phos	6195	2100
T307	deph	5501	6261
T308	phos	658	8048
T309	phos	157	127062
T310	phos	9149	4869
T311	phos	4751	6196
T312	phos	1432	5970
T313	phos	1195	6118
T314	phos	2932	54665
T315	phos	83931	5687
T316	phos	5592	5350
T317	phos	369	23451
T318	phos	2042	7791
T319	phos	816	782
T320	deph	5516	1025
T321	phos	1454	5187
T322	phos	5584	4193
T323	phos	5599	9149
T324	phos	207	4217
T325	phos	5566	8031
T326	phos	409	3577
T327	phos	9263	27254
T328	phos	5165	94104
T329	phos	2932	2737
T330	phos	2868	155
T331	phos	7297	23533
T332	phos	1196	6117
T333	deph	8556	5597
T334	phos	5578	8877
T335	phos	5580	59341
T336	deph	5529	59284
T337	phos	5568	2906
T338	phos	818	59283
T339	phos	660	4869
T340	phos	5347	5599
T341	phos	5601	7514
T342	phos	1457	1975
T343	phos	7483	8326
T344	phos	815	2890
T345	phos	10188	84254
T346	phos	5062	3984
T347	phos	5595	4893
T348	phos	5058	5518
T349	phos	5594	6188
T350	deph	5518	779
T351	phos	156	4988
T352	phos	3460	3718
T353	phos	11200	995
T354	phos	6885	54984
T355	phos	7272	8379
T356	phos	5293	842
T357	phos	5566	778
T358	deph	5778	6300
T359	phos	5579	2790
T360	phos	157	26246
T361	phos	6416	9406
T362	phos	157	341416
T363	phos	157	391196
T364	deph	8556	9712
T365	phos	816	286151
T366	phos	6792	11200
T367	phos	1457	409
T368	phos	1455	54862
T369	phos	8767	5594
T370	phos	83931	55796
T371	phos	2263	2017
T372	phos	2932	1385
