kinase (phosphatase)	phos/deph	substrate
780	phos	1111
6196	phos	602
4752	phos	7534
27148	phos	1407
5753	phos	127933
5578	phos	3269
6733	phos	6196
9263	phos	84991
8445	phos	11315
4882	phos	30819
5292	phos	3141
2185	phos	30820
90	phos	8805
5347	phos	8697
5588	phos	7456
1020	phos	3978
7525	phos	5970
57396	phos	7791
1022	phos	6663
5292	phos	10856
9263	phos	8079
7525	phos	5594
91754	phos	4188
9212	phos	5702
1195	phos	252884
4882	phos	6282
5747	phos	7295
6196	phos	1385
51231	phos	51406
5599	phos	9149
5578	phos	11244
7048	phos	4089
1263	phos	995
5592	phos	2768
2185	phos	127018
2869	phos	660
1019	phos	29118
5753	phos	1487
6195	phos	2115
5590	phos	302
5594	phos	9112
1019	phos	57804
1196	phos	7538
2268	phos	6722
30849	phos	23294
5578	phos	9368
5594	phos	5888
6787	phos	3175
5058	phos	668
7465	phos	7518
1445	phos	5788
5601	phos	6829
9263	phos	3150
6732	phos	4194
7525	phos	3141
2932	phos	9112
6850	phos	202559
3717	phos	9112
6789	phos	3018
207	phos	8031
1025	phos	4760
4145	phos	2268
5599	phos	3190
818	phos	84254
1195	phos	9240
5566	phos	9322
4067	phos	973
815	phos	11178
4882	phos	48
1457	phos	5871
4882	phos	4089
56924	phos	4193
8550	phos	56478
2932	phos	3184
5562	phos	5888
6733	phos	602
815	phos	5573
5606	phos	6300
5578	phos	6452
1022	phos	10848
657	phos	140809
51086	phos	6881
1020	phos	11244
1432	phos	4205
8576	phos	7458
9212	phos	29127
6792	phos	6300
4067	phos	4133
5579	phos	127933
7465	phos	5511
5058	phos	10152
5347	phos	54984
5598	phos	4205
6795	phos	11178
6885	phos	7332
7465	phos	6945
90	phos	4088
1195	phos	5770
1196	phos	84107
8550	phos	55796
8798	phos	340719
8550	phos	5599
5747	phos	4286
5347	phos	891
5578	phos	9322
10783	phos	79612
6787	phos	57862
1018	phos	5515
9212	phos	11200
1457	phos	1983
3611	phos	26472
660	phos	558
1019	phos	55746
7465	phos	55746
57761	phos	602
9263	phos	51728
3932	phos	55869
5599	phos	7531
6885	phos	5580
5058	phos	29068
3480	phos	4776
9891	phos	8099
5566	phos	28984
127933	phos	55796
2263	phos	11163
695	phos	10524
5590	phos	119
6850	phos	1845
817	phos	5580
8767	phos	5599
6792	phos	6117
5566	phos	8208
55681	phos	4193
6850	phos	56957
55681	phos	94104
5566	phos	6881
8428	phos	3189
5590	phos	10848
11329	phos	113130
149420	phos	745
1457	phos	6722
5595	phos	6667
6732	phos	10848
65125	phos	5594
6850	phos	7812
660	phos	28984
8798	phos	140809
1198	phos	5528
6198	phos	1975
6794	phos	5204
4342	phos	8048
1019	phos	8048
1019	phos	602
1454	phos	27254
1454	phos	79760
1432	phos	10657
1020	phos	10772
6196	phos	6282
695	phos	5336
5600	phos	3091
1021	phos	4776
1457	phos	8614
11040	phos	9698
5595	phos	10018
814	phos	3856
5058	phos	1455
6198	phos	7117
207	phos	4088
5602	phos	1386
8767	phos	1398
147746	phos	10766
1457	phos	6925
29110	phos	51008
5590	phos	10856
51701	phos	5566
5347	phos	6196
1019	phos	11037
10188	phos	140809
5590	phos	23294
9263	phos	25898
5578	phos	9126
780	phos	100506164
814	phos	4776
5058	phos	5604
5598	phos	5599
5566	phos	648
2869	phos	140809
5599	phos	7319
660	phos	302
5170	phos	3141
5347	phos	29945
5567	phos	56957
9263	phos	51096
9263	phos	7518
660	phos	9112
5058	phos	4188
10420	phos	7791
10420	phos	8805
5566	phos	7518
9212	phos	84107
90	phos	9604
1195	phos	153527
1020	phos	602
204851	phos	10980
3055	phos	2889
11200	phos	3059
3932	phos	2113
7048	phos	51008
166614	phos	4776
699	phos	4194
5590	phos	51552
1263	phos	7515
127933	phos	11037
5871	phos	6300
6885	phos	4105
8899	phos	60313
55681	phos	92181
9113	phos	4194
2932	phos	4609
5590	phos	10155
4751	phos	26135
1020	phos	6663
5604	phos	2932
2260	phos	8048
1196	phos	4188
5347	phos	23244
1196	phos	7507
658	phos	64410
7867	phos	4760
9020	phos	11183
2264	phos	6300
6196	phos	5970
5894	phos	3059
6196	phos	30818
5590	phos	7812
1457	phos	19
1196	phos	10155
6196	phos	10524
659	phos	9112
8550	phos	9667
5599	phos	11178
5170	phos	1936
1457	phos	85437
139728	phos	3141
2534	phos	6464
1453	phos	23621
8550	phos	25771
7301	phos	7535
8798	phos	5887
1020	phos	4776
7525	phos	867
225689	phos	2268
1020	phos	51010
7048	phos	2017
2185	phos	2274
1196	phos	1820
1457	phos	6622
1018	phos	1111
8445	phos	8479
22983	phos	55616
5566	phos	10073
1196	phos	54738
4067	phos	7534
5609	phos	7314
5347	phos	995
6787	phos	23016
127933	phos	602
29110	phos	3663
6197	phos	7157
8798	phos	7791
6885	phos	6429
7465	phos	84254
8445	phos	5687
2011	phos	55320
1020	phos	4194
8550	phos	64410
6788	phos	56478
5590	phos	2268
207	phos	8522
5600	phos	3172
7465	phos	11331
5129	phos	2869
5599	phos	6300
5599	phos	5465
8767	phos	3141
