kinase (phosphatase)	phos/deph	substrate
6416	phos	5599
5566	phos	490
10459	phos	8881
5509	deph	801
340156	phos	140465
157	phos	128371
3455	phos	3716
157	phos	284532
149233	phos	7297
157	phos	392309
5521	deph	59284
5747	phos	9564
5566	phos	786
131890	phos	155
157	phos	341276
5518	deph	50848
7471	phos	8322
5527	deph	93589
10000	phos	3551
409	phos	154
5579	phos	2784
5613	phos	1390
5501	deph	93589
5499	deph	4637
5527	deph	207
157	phos	1233
5521	deph	10369
5255	phos	5837
814	phos	148327
80326	phos	8326
5578	phos	6237
163702	phos	3718
5520	deph	27091
1432	phos	3727
5571	phos	100132074
5295	phos	208
6196	phos	3265
6788	phos	26524
157	phos	441933
6714	phos	5296
53632	phos	100132074
5520	deph	10413
5567	phos	491
4085	phos	51434
2475	phos	9706
156	phos	643
5506	deph	2997
156	phos	155
5568	phos	1387
5522	deph	55799
157	phos	387748
3055	phos	2214
157	phos	390157
5170	phos	23678
5894	phos	5602
5529	deph	6262
818	phos	27092
8569	phos	9470
2268	phos	5296
5516	deph	50848
28227	deph	785
818	phos	6332
2771	phos	5603
7535	phos	1432
10645	phos	5571
5566	phos	9586
5500	deph	2903
5595	phos	4093
5613	phos	5502
5526	deph	781
157	phos	81061
157	phos	390648
5595	phos	7068
4088	phos	658
5058	phos	10746
5602	phos	4088
157	phos	219986
5582	phos	55970
1432	phos	7157
157	phos	138803
79660	deph	2998
157	phos	343171
5590	phos	3993
5063	phos	4638
7481	phos	8322
1844	deph	5603
6011	phos	1235
5526	deph	59284
8555	deph	64682
2773	phos	5599
3563	phos	3718
4690	phos	5063
56924	phos	3985
5588	phos	7082
207	phos	5140
5528	deph	93589
5520	deph	775
1847	deph	6300
6196	phos	699
157	phos	7852
5507	deph	808
5507	deph	810
5506	deph	805
2869	phos	4988
3716	phos	6774
53833	phos	3716
23533	phos	5747
2870	phos	1230
3717	phos	6773
5523	deph	59283
8556	deph	51433
5601	phos	2353
7482	phos	8326
1432	phos	2308
157	phos	127077
5499	deph	59284
5566	phos	476
5518	deph	59284
55844	deph	10368
11221	deph	5603
5568	phos	7442
157	phos	119682
6794	phos	51422
157	phos	219952
5519	deph	207
9252	phos	9586
5600	phos	8986
7483	phos	8326
5290	phos	2932
5257	phos	5834
84867	deph	5602
5563	phos	4303
4342	phos	5604
5582	phos	5747
157	phos	8388
5613	phos	5923
51776	phos	5609
3718	phos	6775
207	phos	1388
6714	phos	1499
2869	phos	1235
5525	deph	785
5593	phos	5894
7419	deph	4773
1848	deph	5603
7976	phos	2776
1460	phos	1499
5530	deph	84152
157	phos	81466
9252	phos	64764
5582	phos	10681
5594	phos	6195
157	phos	286362
157	phos	401667
816	phos	775
5568	phos	90993
157	phos	2833
157	phos	256148
7479	phos	2535
5580	phos	4082
814	phos	84699
6300	phos	8061
89801	deph	805
90	phos	4088
5519	deph	786
1020	phos	1808
5613	phos	2736
10000	phos	64764
5567	phos	782
9021	deph	3643
208	phos	1026
3055	phos	5295
7189	phos	5599
5581	phos	59341
5592	phos	7225
6558	phos	115
5613	phos	2785
157	phos	219487
815	phos	784
5582	phos	3845
817	phos	2316
8440	phos	56924
5578	phos	2784
207	phos	84699
25	phos	6464
898	phos	51434
8503	phos	842
3551	phos	4303
5568	phos	54331
157	phos	219417
5500	deph	90993
5533	deph	25847
3977	phos	3718
